omp,400,0.014499
ker,400,0.007304
acc,400,0.005951
omp,600,0.031823
ker,600,0.018938
acc,600,0.014917
omp,800,0.050234
ker,800,0.042048
acc,800,0.028832
omp,1000,0.070097
ker,1000,0.081904
acc,1000,0.055484
omp,1200,0.116859
ker,1200,0.137460
acc,1200,0.089894
omp,1400,0.171912
ker,1400,0.245882
acc,1400,0.154158
omp,1600,0.389071
ker,1600,0.351492
acc,1600,0.226126
omp,1800,0.641244
ker,1800,0.537216
acc,1800,0.332806
omp,2000,0.648312
ker,2000,0.751920
acc,2000,0.451400
omp,2200,0.767994
ker,2200,1.024422
acc,2200,0.617023
omp,2400,0.998292
ker,2400,1.313687
acc,2400,0.779579
omp,2600,1.672469
ker,2600,1.843286
acc,2600,1.089902
omp,2800,1.724587
ker,2800,2.109232
acc,2800,1.287551
omp,3000,2.319641
ker,3000,2.719786
acc,3000,1.625893
omp,3200,2.972546
ker,3200,3.118782
acc,3200,1.961690
omp,3400,3.645851
ker,3400,3.992197
acc,3400,2.403174
omp,3600,4.046134
ker,3600,4.537249
acc,3600,2.786121
omp,3800,4.680188
ker,3800,5.587889
acc,3800,3.436460
omp,4000,5.757330
ker,4000,6.194225
acc,4000,3.886543
omp,4200,6.345152
ker,4200,7.549945
acc,4200,4.578494
omp,4400,7.553753
ker,4400,8.178235
acc,4400,5.208922
omp,4600,8.850992
ker,4600,9.891473
acc,4600,6.124275
omp,4800,9.885543
ker,4800,10.706771
acc,4800,6.898481
omp,5000,10.474181
ker,5000,12.751648
acc,5000,7.957189
omp,5200,11.966804
ker,5200,13.582877
acc,5200,8.839118
omp,5400,13.913698
ker,5400,16.066153
acc,5400,10.048366
omp,5600,17.300531
ker,5600,16.995733
acc,5600,11.033954
omp,5800,16.341103
ker,5800,19.892834
acc,5800,12.230899
omp,6000,18.361572
ker,6000,20.737183
acc,6000,13.660474
omp,6200,23.142546
ker,6200,24.177359
acc,6200,15.593351
omp,6400,23.813805
ker,6400,25.180948
acc,6400,16.753988
omp,6600,26.271399
ker,6600,29.258081
acc,6600,18.819757
omp,6800,26.272701
ker,6800,30.269995
acc,6800,19.565653
omp,7000,36.215237
ker,7000,32.501770
acc,7000,22.571640
